onboard,engage,source,target,t,intimacy
False,False,14,9,27,0.8874492252651535
False,False,1,11,27,0.914339824239913
False,False,7,9,27,0.914339824239913
False,False,17,7,27,0.914339824239913
False,False,17,8,27,0.914339824239913
False,False,17,15,27,0.914339824239913
False,False,19,1,27,0.914339824239913
False,False,19,4,27,0.914339824239913
False,False,13,15,27,0.9234832224823122
False,False,5,1,27,0.9327180547071353
False,False,5,10,27,0.9327180547071353
False,False,5,16,27,0.9420452352542067
False,False,7,11,27,1.9321442451551967
False,False,4,18,27,0.9514656876067488
False,False,8,9,27,0.9609803444828162
False,False,20,23,27,0.9609803444828162
False,False,9,4,27,0.9705901479276444
False,False,9,11,27,0.9705901479276444
False,False,7,13,27,0.9900990099009901
False,False,7,14,27,0.9900990099009901
False,False,17,25,27,0.9900990099009901
False,False,1,0,28,0.9824917510290012
False,False,0,1,28,0.07720479633601816
False,False,2,0,28,0.07720479633601816
False,False,0,2,28,0.07720479633601816
False,False,2,1,28,0.07720479633601816
False,False,1,2,28,0.9824917510290012
False,False,3,0,28,0.7797684429937835
False,False,3,4,28,1.6157857571848582
False,False,4,0,28,0.7954417886979586
False,False,4,1,28,1.7855407985989487
False,False,4,5,28,0.7954417886979586
False,False,6,2,28,0.7954417886979586
False,False,6,3,28,2.501168750859324
False,False,7,8,28,0.8114301686507875
False,False,4,2,28,0.8195444703372954
False,False,4,6,28,0.8195444703372954
False,False,3,6,28,2.56750117566982
False,False,6,9,28,0.8443774873329858
False,False,12,2,28,0.8443774873329858
False,False,7,5,28,0.8613494748283788
False,False,7,6,28,0.8613494748283788
False,False,7,12,28,1.8416455242352998
False,False,13,3,28,0.8699629695766625
False,False,13,12,28,1.7843027938165752
False,False,2,4,28,0.8786625992724292
False,False,12,3,28,0.8786625992724292
False,False,12,7,28,0.8786625992724292
False,False,14,6,28,0.8786625992724292
False,False,14,9,28,0.8786625992724292
False,False,1,11,28,0.9052869546929831
False,False,7,9,28,0.9052869546929831
False,False,17,7,28,0.9052869546929831
